rank,items,rate-Directory creation,time-Directory creation,rate-Directory stat,time-Directory stat,rate-Directory read,time-Directory read,rate-Directory rename,time-Directory rename,rate-Directory removal,time-Directory removal,rate-File creation,time-File creation,rate-File stat,time-File stat,rate-File read,time-File read,rate-File removal,time-File removal,rate-Tree creation,time-Tree creation,rate-Tree removal,time-Tree removal
all,756768,,,,,,,,,,,3.2059093671e+04,3.7768653488e+02,,,,,,,3.1528415989e+02,5.0747871399e-02,,
0,,,,,,,,,,,,2.3507648300e+03,3.2192416286e+02,,,,,,
1,,,,,,,,,,,,2.2744261903e+03,3.3272919703e+02,,,,,,
2,,,,,,,,,,,,2.1926218187e+03,3.4514296699e+02,,,,,,
3,,,,,,,,,,,,2.0038845450e+03,3.7765049982e+02,,,,,,
4,,,,,,,,,,,,2.0481799336e+03,3.6948316288e+02,,,,,,
5,,,,,,,,,,,,2.2914332353e+03,3.3025967693e+02,,,,,,
6,,,,,,,,,,,,2.4632167241e+03,3.0722753406e+02,,,,,,
7,,,,,,,,,,,,2.3625079686e+03,3.2032399893e+02,,,,,,
8,,,,,,,,,,,,2.5225566882e+03,3.0000039387e+02,,,,,,
9,,,,,,,,,,,,2.1571203757e+03,3.5082325888e+02,,,,,,
10,,,,,,,,,,,,2.2759899262e+03,3.3250059295e+02,,,,,,
11,,,,,,,,,,,,2.1415631890e+03,3.5337178183e+02,,,,,,
12,,,,,,,,,,,,2.2837168361e+03,3.3137558389e+02,,,,,,
13,,,,,,,,,,,,2.2853059648e+03,3.3114515591e+02,,,,,,
14,,,,,,,,,,,,2.5157760424e+03,3.0080896997e+02,,,,,,
15,,,,,,,,,,,,2.2894870656e+03,3.3054041290e+02,,,,,,
