rank,items,rate-Directory creation,time-Directory creation,rate-Directory stat,time-Directory stat,rate-Directory read,time-Directory read,rate-Directory rename,time-Directory rename,rate-Directory removal,time-Directory removal,rate-File creation,time-File creation,rate-File stat,time-File stat,rate-File read,time-File read,rate-File removal,time-File removal,rate-Tree creation,time-Tree creation,rate-Tree removal,time-Tree removal
all,318450,,,,,,,,,,,,,6.4363340636e+04,3.9581537795e+02,,,,,,,,
0,,,,,,,,,,,,,,1.0375754134e+03,3.0691744995e+02,,,,
1,,,,,,,,,,,,,,1.0383184401e+03,3.0669781804e+02,,,,
2,,,,,,,,,,,,,,1.0383803473e+03,3.0667953300e+02,,,,
3,,,,,,,,,,,,,,1.0371913632e+03,3.0703109503e+02,,,,
4,,,,,,,,,,,,,,1.0365540248e+03,3.0721987700e+02,,,,
5,,,,,,,,,,,,,,1.0384519600e+03,3.0665838408e+02,,,,
6,,,,,,,,,,,,,,1.0390253755e+03,3.0648914599e+02,,,,
7,,,,,,,,,,,,,,1.0381024339e+03,3.0676163507e+02,,,,
8,,,,,,,,,,,,,,8.9978168098e+02,3.5391918588e+02,,,,
9,,,,,,,,,,,,,,8.0454195325e+02,3.9581528187e+02,,,,
10,,,,,,,,,,,,,,8.9984963747e+02,3.5389245796e+02,,,,
11,,,,,,,,,,,,,,8.9980052991e+02,3.5391177201e+02,,,,
12,,,,,,,,,,,,,,8.9962137696e+02,3.5398225093e+02,,,,
13,,,,,,,,,,,,,,8.9992914270e+02,3.5386119294e+02,,,,
14,,,,,,,,,,,,,,8.9959586645e+02,3.5399228907e+02,,,,
15,,,,,,,,,,,,,,8.9981029050e+02,3.5390793300e+02,,,,
16,,,,,,,,,,,,,,9.8800571913e+02,3.2231594801e+02,,,,
17,,,,,,,,,,,,,,9.8873414945e+02,3.2207848811e+02,,,,
18,,,,,,,,,,,,,,9.8762135005e+02,3.2244138908e+02,,,,
19,,,,,,,,,,,,,,9.8749171238e+02,3.2248371911e+02,,,,
20,,,,,,,,,,,,,,9.8793047105e+02,3.2234049797e+02,,,,
21,,,,,,,,,,,,,,8.6003711650e+02,3.7027471709e+02,,,,
22,,,,,,,,,,,,,,8.6019700828e+02,3.7020589113e+02,,,,
23,,,,,,,,,,,,,,8.5956086929e+02,3.7047987103e+02,,,,
24,,,,,,,,,,,,,,1.0100092473e+03,3.1529414296e+02,,,,
25,,,,,,,,,,,,,,8.1896697577e+02,3.8884351802e+02,,,,
26,,,,,,,,,,,,,,1.0102741537e+03,3.1521146894e+02,,,,
27,,,,,,,,,,,,,,1.0109499676e+03,3.1500075197e+02,,,,
28,,,,,,,,,,,,,,1.0112179562e+03,3.1491727185e+02,,,,
29,,,,,,,,,,,,,,1.0108821459e+03,3.1502188587e+02,,,,
30,,,,,,,,,,,,,,1.0103212931e+03,3.1519676185e+02,,,,
31,,,,,,,,,,,,,,1.0114362300e+03,3.1484931087e+02,,,,
32,,,,,,,,,,,,,,8.1047931988e+02,3.9291563916e+02,,,,
33,,,,,,,,,,,,,,9.3813977305e+02,3.3944835210e+02,,,,
34,,,,,,,,,,,,,,8.1067796261e+02,3.9281936193e+02,,,,
35,,,,,,,,,,,,,,9.3856711176e+02,3.3929379797e+02,,,,
36,,,,,,,,,,,,,,9.3820984145e+02,3.3942300105e+02,,,,
37,,,,,,,,,,,,,,9.3824157765e+02,3.3941152000e+02,,,,
